id	Series16_A549-ACE2_SARS-CoV-2_1	Series16_A549-ACE2_SARS-CoV-2_2	Series16_A549-ACE2_SARS-CoV-2_3	Series16_A549-ACE2_SARS-CoV-2_Rux_1	Series16_A549-ACE2_SARS-CoV-2_Rux_2	Series16_A549-ACE2_SARS-CoV-2_Rux_3
SEC61A2	81	88	91	142	132	95
HNF1A	39	28	23	60	29	35
USP30	80	85	105	138	147	81
APOL3	18	16	4	1	3	2
CDC25A	70	57	61	77	76	55
VASH1	10	20	24	38	41	43
RABL2B	36	28	23	58	52	37
HSH2D	53	42	33	7	3	1
ZNF181	139	196	180	268	264	211
C11orf74	10	11	14	14	19	20
RAD52	66	71	62	113	121	109
PHLDB3	43	58	54	109	61	67
NAPB	84	91	111	143	159	107
EDARADD	34	37	35	30	23	18
MKS1	13	17	14	34	27	26
OXNAD1	28	43	35	66	68	54
TGFBR3	28	38	37	49	42	36
ZNF576	29	40	20	57	43	38
PUS3	29	36	31	72	45	48
CASZ1	34	44	38	51	45	25
DCLRE1B	19	14	13	32	26	29
CEP152	20	14	25	20	16	26
TADA1	52	49	58	86	109	77
TMEM186	34	42	40	88	59	47
SS18L2	46	59	49	67	54	73
SLC4A3	13	15	17	21	22	12
PCDHGC3	3	6	3	9	10	8
CASP9	46	51	50	69	54	47
COL8A1	0	1	0	0	0	1
CLMP	30	26	27	21	29	15
DGKE	123	115	147	175	168	143
RBP1	2	1	2	1	3	0
SETD6	13	23	20	27	31	31
AMDHD2	19	17	13	46	23	13
DEFB1	1	2	0	0	3	0
ARID3B	111	144	146	140	138	89
CNKSR1	7	6	11	9	11	6
KLHL8	24	20	20	48	44	42
ATAD5	68	71	64	116	109	85
SELE	42	38	46	79	56	45
SNTA1	27	33	23	42	35	32
FUT4	56	41	38	78	64	49
C2orf42	74	79	79	93	114	70
F5	44	51	37	77	70	54
HCAR3	10	11	10	1	4	2
KLF2	33	29	31	87	59	43
P2RY6	24	22	17	17	13	12
TLR6	46	54	49	102	86	81
CAMK1	22	24	20	49	45	39
PAQR6	27	32	43	73	60	39
CDC7	27	25	24	42	39	33
ZNF845	193	201	186	319	310	246
ZNF300	75	73	72	96	137	102
LYSMD2	33	41	23	17	22	29
MARS2	49	38	33	81	67	70
FAM102B	35	35	43	52	44	44
GPATCH3	48	43	51	76	63	48
TRIM9	63	72	67	78	68	53
DLG4	45	43	53	66	84	51
ZNF446	47	53	30	57	41	41
ARMC7	49	38	35	80	63	48
TMEM128	44	61	59	73	95	63
PTX3	142	133	143	186	116	105
TRIM23	122	106	130	182	190	135
RNASE7	1	1	0	1	0	0
ANKRD49	222	238	294	354	358	261
ZSCAN2	78	78	87	146	125	117
NFXL1	48	39	32	53	60	43
C4orf46	39	37	34	52	38	45
SLC25A20	23	36	31	55	48	30
PPOX	13	12	7	18	12	15
CLEC2B	39	56	60	41	32	19
RAB40B	15	13	16	45	49	27
VSTM2L	14	20	15	13	16	14
SHISA4	18	14	25	31	25	24
ZNF320	0	0	0	0	0	1
SCYL3	72	54	50	115	67	72
CEP135	30	36	38	61	63	49
TMEM198B	30	23	19	59	50	36
CYP4F3	17	18	19	40	46	37
CAPN5	14	16	17	43	55	35
PARD6G	67	52	67	105	103	71
ZNF324	97	104	81	173	131	126
KLHL25	21	27	26	20	42	17
U2AF1L4	53	40	45	84	68	64
CWF19L2	36	31	40	39	43	32
PLEKHO1	38	43	33	37	34	23
CCDC66	92	97	84	158	162	79
DGKH	29	39	43	58	59	53
KLHL28	62	68	75	120	107	91
LIN54	27	29	33	46	37	46
TNFRSF1B	4	12	5	9	12	13
MGAT3	1	2	4	1	4	3
DHODH	14	12	11	35	30	19
E2F5	67	48	59	90	87	66
PLA2R1	28	24	18	31	31	34
EHHADH	9	6	10	15	17	17
CACNB1	24	16	32	51	37	34
VWA5A	1	0	3	0	1	0
MIR100HG	62	96	86	85	78	66
NOMO3	15	17	13	25	14	24
FGF5	0	1	0	0	1	1
ARHGAP31	25	26	35	48	39	45
NKIRAS1	99	111	132	159	190	127
IPW	34	34	53	79	83	56
LFNG	9	5	13	31	19	16
ATP7B	16	9	12	16	20	8
TMEM201	20	16	18	20	24	21
ZNF689	52	56	57	81	54	42
SLC44A3	14	12	15	27	31	20
CRYZL1	37	61	37	85	85	53
ANO8	24	27	29	40	41	26
UBXN11	30	33	29	51	35	30
STXBP4	82	81	82	129	149	96
MOK	63	64	88	164	133	109
TUBGCP4	34	39	39	54	65	42
ZNF37BP	29	41	34	66	51	49
PLEKHM3	69	53	51	70	80	62
TCF7L1	28	29	47	37	45	28
ZBTB48	37	34	45	73	59	42
HOMER1	43	48	46	66	55	46
TGDS	75	74	88	135	127	103
MED26	194	227	270	351	330	237
ZNF827	35	48	43	62	61	34
TASP1	49	59	84	100	95	78
ABAT	38	38	60	65	59	44
NUDT18	27	21	25	50	38	36
AOX1	44	23	40	27	25	20
ALKBH8	34	40	38	84	67	46
B3GNT9	29	25	21	33	31	30
DNAH14	48	64	87	97	114	84
FAM86DP	40	32	43	72	58	35
MIS18A	22	26	18	41	42	18
ZNF761	96	95	119	189	225	146
PHC1	25	31	30	63	40	44
ZNF614	106	110	151	216	209	142
TMEM45A	52	37	35	31	42	32
FAM161A	40	37	26	58	57	40
AP4B1	24	28	26	32	24	26
ZNF83	0	0	0	1	0	0
ZBTB14	43	40	38	58	65	47
MAF	101	130	164	86	75	52
CCDC24	7	21	10	24	4	13
C11orf86	155	170	202	192	160	134
FAM76B	59	95	87	121	140	87
RASGRP3	143	146	96	44	39	35
KBTBD6	54	59	54	94	95	61
TTC39C	25	20	32	51	38	25
TRIM2	4	5	4	20	18	17
SLC35F3	80	93	109	153	160	90
ABCA5	101	107	127	146	179	119
CREB3L4	14	15	10	17	21	4
LOC400655	118	92	116	160	191	116
STARD5	6	6	6	6	6	5
ITGB3	96	113	119	23	23	26
BCKDHB	17	20	17	34	37	20
MC1R	35	34	23	42	23	23
TSHZ1	36	33	29	49	62	32
ZNF213	22	13	14	30	20	16
ARG2	44	58	58	73	57	54
RDH13	40	37	47	69	59	34
KRT75	1	2	0	1	0	0
LIN9	41	50	44	52	74	49
SYTL1	0	0	2	6	0	0
GTDC1	25	32	35	52	42	23
NPR2	72	98	75	139	114	72
TMEM37	15	8	13	16	18	9
EVA1A	35	34	23	37	35	23
SLC25A16	49	28	46	84	86	37
MAP1LC3A	44	43	51	74	55	50
ZNF180	133	122	123	221	206	159
ADAM23	32	27	26	39	43	38
PRDM15	20	30	25	46	51	40
COL4A3	40	50	29	44	46	51
SLC36A4	45	49	53	79	66	47
RBM43	78	84	76	77	58	48
ADARB1	18	24	15	30	28	17
TRIM66	37	36	26	72	60	32
TRIM59	77	58	82	122	88	106
KLF12	61	63	65	115	124	74
ZNHIT2	18	23	25	46	18	18
SENP7	153	176	193	279	266	197
TOE1	26	32	31	38	41	41
SLC7A6OS	30	26	10	36	23	24
TMEM144	43	33	36	54	60	50
ROBO4	0	0	0	1	0	0
LRG1	4	5	4	2	2	0
FKBP1B	13	13	13	32	25	24
PRADC1	20	11	23	26	30	27
ZNF200	112	120	105	167	185	134
LRRC28	22	14	20	26	32	16
TREX1	71	74	51	29	17	9
OSBP2	33	36	40	82	62	39
SFTA1P	0	0	0	0	0	0
TRMT13	77	66	77	132	113	91
ALG6	9	14	20	24	29	14
SLC24A1	19	19	19	35	43	22
NSG1	3	2	3	4	2	4
LRRC49	48	60	54	110	111	64
ANXA8L1	0	0	0	0	0	0
CACFD1	67	85	88	117	67	61
CNNM2	56	42	45	96	62	48
CYB5R2	7	11	8	10	14	7
MORN4	35	41	24	64	43	50
PRR5L	31	27	33	47	26	28
ZNF107	146	124	137	99	87	70
FAM131A	13	17	21	32	22	12
TMPRSS11D	0	0	0	0	0	0
C17orf58	15	31	38	77	67	67
GORAB	99	106	104	152	155	117
CACNA1G	55	48	54	88	87	74
MOSPD3	13	6	4	18	7	14
C9orf72	42	62	69	43	59	29
LINC00339	32	35	43	57	79	43
STAT4	39	36	19	41	23	28
STK32B	23	20	26	35	40	33
RHBDL2	13	13	11	26	17	9
ZP3	20	24	20	33	35	20
THNSL1	11	15	15	27	26	17
POLG2	76	76	71	126	138	92
SEC14L4	47	44	44	66	74	56
SCLT1	31	35	27	13	23	25
ISY1	50	40	54	69	52	38
SLFN13	22	22	12	22	21	21
TMOD2	3	10	15	11	13	8
RGS16	22	17	10	27	17	12
DLGAP1-AS1	35	33	36	33	35	31
PALM	12	16	13	26	19	12
WTIP	24	41	30	36	43	33
C12orf73	62	60	76	118	125	75
CACNG4	32	25	26	47	45	36
BOLA1	32	20	29	31	24	22
NEB	13	7	10	25	19	20
PXMP2	10	16	12	19	25	17
HCFC2	144	154	140	198	227	148
ZNF607	30	34	18	53	57	32
TNFRSF11B	0	0	0	2	0	1
TIGD1	203	189	212	376	334	278
GAB1	16	11	15	22	28	19
RCHY1	123	128	177	202	202	152
APOBEC3F	90	81	72	36	34	24
LHPP	16	19	8	22	18	15
SLC9B2	15	21	22	26	29	15
MDM1	24	30	28	46	36	33
KIF21B	13	12	20	51	33	19
PRTFDC1	40	39	35	59	64	54
RBM45	36	34	51	55	61	41
C15orf41	28	24	33	65	49	49
GMEB1	58	54	62	103	87	59
SPEG	2	11	6	9	12	7
CRYAB	10	7	7	4	7	3
ZFP1	73	83	73	113	117	82
CEP97	53	56	66	95	85	62
ZNF720	73	76	68	94	89	52
NICN1	25	34	26	56	43	25
DENND1B	75	101	96	147	158	104
AP4S1	73	62	61	86	76	70
VAMP4	29	21	46	49	57	32
SLC34A2	1	3	0	2	2	1
ZNF174	32	31	18	54	51	47
TIGD2	67	65	71	83	90	92
RASSF10	60	65	53	91	62	60
NUFIP1	38	50	48	88	81	53
BTD	16	8	17	20	20	11
FBXL19-AS1	173	142	145	282	221	176
PRR5	19	39	13	14	9	4
ZNF224	19	17	16	26	26	21
USH1C	23	14	14	25	38	25
LMLN	20	25	20	33	40	35
SCAMP5	27	29	14	42	31	26
TCEANC2	18	13	26	24	32	12
APOH	21	18	23	38	53	34
PXMP4	10	12	14	13	18	17
INPP5B	68	96	84	135	97	78
CCDC102A	13	17	16	32	20	17
LRRC8E	68	69	79	99	99	69
CRB3	7	3	6	6	2	6
HSCB	35	39	35	35	29	31
RANGRF	1	3	9	12	7	9
TIFA	58	72	62	96	109	74
FCHO1	12	14	12	37	34	17
APBB1IP	76	49	50	80	61	65
HCG11	81	76	80	149	127	89
AGAP6	143	114	135	227	259	144
PNLIPRP3	0	1	0	0	0	0
ALOX5AP	6	2	3	12	3	4
LRRN2	19	27	14	42	27	29
NAF1	26	30	33	50	48	37
PALD1	13	17	12	24	17	15
FUT3	5	8	4	12	12	13
C22orf23	13	15	10	37	32	19
MYBL1	32	36	37	80	74	57
PIGP	27	34	39	53	49	52
ZNF780B	98	71	81	143	137	80
ANKMY1	24	22	30	73	51	26
PMF1	8	16	14	18	17	15
CGRRF1	79	84	84	134	125	83
PLLP	5	4	5	12	9	6
CEP44	57	55	70	98	104	78
FAM110A	5	3	4	10	5	7
WDR5B	51	68	86	89	112	72
HYAL3	16	6	13	20	19	21
CSPG4	2	4	1	2	6	3
SLCO2B1	8	6	6	27	11	11
ARHGEF25	50	49	36	68	63	55
CDK11A	49	41	56	88	89	50
TMEM39B	21	9	13	33	21	19
SLITRK6	3	4	2	11	14	6
DEPDC5	40	44	46	44	60	38
ROBO3	7	9	8	14	9	4
PLEK	4	0	0	0	1	0
ARHGAP42	138	140	150	186	144	117
C1QA	1	0	0	1	0	0
DTWD1	58	53	57	75	95	62
GALNT13	52	46	50	83	82	75
RNF157	16	16	18	21	14	5
SYNJ1	50	66	91	108	99	74
LINC00857	17	25	16	24	29	26
RAD51	9	21	12	18	19	23
DES	0	0	0	0	0	0
LIAS	16	22	24	34	30	30
C21orf91	31	25	27	39	35	42
CEBPA	26	24	40	48	36	30
ZSCAN9	53	51	53	92	81	63
VILL	1	4	0	1	1	0
TMEM158	75	117	108	88	96	72
SCAND2P	240	252	257	412	393	276
SBSN	4	6	4	2	7	3
LCMT2	45	58	52	82	62	61
TBCCD1	27	17	33	42	45	26
ZNF397	46	47	54	102	72	61
ZSWIM1	61	52	47	66	51	49
HAUS8	20	17	24	24	23	24
ERVK13-1	46	32	45	61	72	44
TCTN2	34	26	21	33	43	32
EIF5A2	42	65	68	65	80	54
CCDC84	60	100	98	101	120	89
UNC5B	23	16	28	39	27	22
DEPDC7	104	101	98	175	128	143
ZNF587B	69	54	48	107	82	65
DPYSL5	22	24	22	31	41	24
ASIC1	12	7	18	39	19	27
METTL4	29	26	28	35	24	21
TAMM41	34	36	39	69	66	61
SPATA5	55	64	60	91	96	60
AAMDC	10	16	17	10	17	6
PARP16	56	67	45	90	71	50
CABLES1	43	55	44	76	70	57
TPPP3	24	20	26	111	69	57
SIX4	122	106	154	183	157	146
THRB	65	76	64	105	97	60
CSAD	32	35	41	57	57	38
PARD6B	116	124	102	215	161	140
SH3D21	17	15	25	37	31	31
SYT17	31	43	39	64	56	45
PLEKHN1	8	8	18	15	15	10
TRPV1	34	33	33	50	47	33
SYNC	14	6	5	17	17	13
NAT8L	21	29	19	44	40	29
NPHP4	15	10	11	16	19	20
CAPNS2	0	0	0	1	1	0
ATG16L2	19	21	17	43	31	27
HAGHL	7	16	5	23	11	10
TMEM80	47	39	37	77	84	50
USE1	26	21	24	37	30	13
EPN3	4	5	3	19	7	11
LSM12	59	77	80	77	105	60
SMPD2	22	19	13	27	27	19
DHRS11	5	7	2	17	12	6
SGPP2	7	6	2	6	5	7
CST6	0	0	0	0	0	0
PLCL2	273	263	242	458	411	330
MON1A	6	3	6	15	10	12
BRCA2	53	33	37	34	30	26
2-Mar	22	19	18	49	45	22
ZNF627	147	176	180	319	333	234
NBPF3	14	13	17	25	17	21
PITPNA-AS1	22	27	23	31	34	27
EVA1B	10	13	14	7	11	8
RPUSD2	40	15	20	54	24	30
RBFOX3	50	39	67	82	70	49
PDSS1	50	55	55	75	73	56
GLB1L2	9	5	2	8	9	8
CLIC3	0	1	1	0	0	0
LYPD1	28	39	34	24	24	30
SRR	17	20	27	27	34	37
OVOL1	2	2	2	2	6	2
GCDH	3	7	6	16	7	10
AASDH	30	30	30	49	46	45
SEC31B	106	110	118	159	158	121
ZNF329	38	45	31	74	72	63
TMEM136	98	111	101	159	155	119
PLSCR4	50	63	57	62	59	27
CARD16	1	1	1	0	2	0
DGKG	29	35	24	26	36	20
CXorf40A	30	45	53	69	62	52
GJB4	1	0	2	3	0	0
HOXB8	41	58	66	68	83	73
TYROBP	9	1	0	0	0	1
XRCC2	18	14	10	29	16	23
CNKSR2	54	40	60	91	100	72
C2orf72	45	43	58	102	97	49
THAP6	71	44	63	73	76	62
TTC30A	30	36	36	56	67	50
RPL23AP82	14	17	22	50	36	27
RTKN2	5	8	7	8	6	7
METTL7B	7	2	1	4	7	7
TMEM170A	40	48	52	71	67	48
ZNF18	40	50	49	67	68	52
MICALCL	3	3	3	8	6	3
TMEM107	49	52	43	82	85	51
PANK1	49	42	47	95	74	79
CYGB	11	11	6	15	8	9
NSUN6	58	59	54	82	77	65
CYP2R1	42	57	80	74	104	78
HCN3	40	58	52	88	66	65
SAA2	28	29	28	15	13	13
ABHD8	8	11	10	21	9	6
SOD3	0	0	0	0	0	0
WDSUB1	28	26	33	55	37	37
MAMDC4	20	25	29	51	19	31
UBA7	38	40	27	0	1	1
ITFG2	22	15	23	25	29	16
HCLS1	15	7	13	16	15	14
ZNF74	17	15	27	33	32	26
CEP76	64	69	60	98	80	55
C3orf14	29	14	33	28	48	28
ARTN	0	2	1	1	0	0
TTC12	23	22	26	48	55	28
ZNF468	0	4	0	4	2	2
FAM89A	24	28	26	27	29	28
CRTC1	16	15	10	29	28	11
MIA2	8	4	10	6	10	8
ARHGAP24	49	41	38	80	60	58
ZDHHC1	14	16	12	27	15	12
SPATA18	70	78	73	132	112	113
C4orf33	48	40	51	37	35	27
RPSAP58	28	43	31	49	55	31
CBX7	17	13	9	26	23	21
EFEMP2	12	14	24	24	32	24
COQ3	11	5	10	22	24	12
EFNA3	166	208	261	282	280	155
LENG1	14	21	22	21	16	21
ZFP30	103	119	75	147	184	129
TMEM216	27	31	22	40	50	32
LRFN1	14	22	13	26	29	13
ERMAP	22	17	24	37	34	21
EDNRB	0	0	0	0	0	0
FUZ	17	19	19	22	26	17
GABPB1-AS1	34	51	47	80	62	63
PRTG	78	95	99	155	140	112
ODF3B	28	30	31	28	14	9
ADPRM	98	88	88	133	143	102
FBXL14	16	26	26	32	18	20
TNFRSF14	0	1	0	2	1	0
ZNF589	7	7	9	18	20	16
CAPN12	65	93	96	215	173	122
TMEM175	4	6	10	20	14	11
CCDC88B	19	22	28	41	43	20
CAB39L	57	54	39	85	88	53
SECTM1	24	19	6	5	2	3
SNX21	29	30	24	52	27	51
NBPF9	52	54	54	74	102	54
FZD4	27	25	27	43	33	46
ZNF419	79	68	78	109	109	95
SASS6	43	60	66	65	91	68
SCO2	0	0	1	0	0	0
RFFL	34	28	32	46	31	29
XRRA1	24	20	17	37	30	24
FHDC1	4	11	6	12	15	4
TMCO4	21	15	27	35	20	15
ANO5	73	69	67	52	39	27
GLIPR2	20	21	23	26	24	29
KHK	11	10	7	23	18	22
LMTK3	38	41	30	43	30	32
ATG4C	11	23	14	17	27	16
PKD1P1	9	24	28	36	23	12
LPAR3	0	1	1	0	1	0
FRAT2	38	34	29	41	46	21
TMEM231	11	8	15	24	21	17
SPATA2L	24	22	31	40	12	25
KLK11	0	0	0	0	0	0
AGT	0	1	1	0	1	0
NDUFAF6	29	28	32	52	49	26
C1QL1	31	47	26	25	31	32
WWOX	17	9	12	24	22	17
COQ10A	29	20	26	46	21	18
MCTP2	0	0	0	0	0	1
MGAT4A	14	13	28	23	23	23
TNIK	42	34	33	62	49	46
PAX9	9	26	16	24	29	17
MUTYH	6	7	8	17	10	4
SPTB	43	46	29	83	69	50
MBD5	61	61	63	92	85	76
UQCRHL	14	16	19	27	33	17
MLYCD	34	39	16	47	47	29
CRNDE	32	37	45	67	53	57
WDR53	44	45	49	65	69	41
TNFAIP8L1	13	19	17	35	31	31
CAPN14	1	2	0	1	0	0
NDN	0	0	0	0	0	0
DENND2D	7	4	7	11	9	7
SEPSECS	57	44	43	69	57	62
TNFRSF25	3	6	5	8	3	4
ATG4D	17	21	21	25	24	14
ANAPC10	59	45	85	102	114	90
FPGT	17	26	34	43	49	37
WARS2	34	40	27	48	41	30
EXOG	48	46	37	70	58	34
SMIM4	6	8	9	18	10	14
MEIS1	20	18	30	20	33	21
SYNGR3	69	77	94	137	104	76
CRYBB2P1	68	83	95	81	137	66
GDF11	22	22	17	42	28	30
NEK11	54	44	56	84	55	45
DHRS13	50	40	40	70	60	57
RNPC3	90	112	140	157	152	119
NFKBID	145	173	153	333	315	221
SLC19A3	23	28	25	21	21	13
PPP1R3E	108	114	116	156	195	131
KLC3	6	15	7	15	12	10
GNG4	38	46	37	18	34	26
ATP2C2	3	8	9	11	13	7
HECTD2	93	102	103	158	152	120
MAP2K6	18	15	7	16	11	9
NEXN	29	28	18	38	32	30
ARHGAP5-AS1	48	24	37	58	35	31
HIC2	135	141	138	242	196	160
MMP28	7	0	5	12	14	7
DNLZ	4	10	7	15	9	4
IL36G	1	0	3	7	5	1
NCR3LG1	127	103	105	134	79	97
SPATA7	75	46	68	101	78	77
BHLHE41	406	457	560	615	799	498
GPR160	19	16	16	9	16	15
RFX1	36	26	46	52	42	31
NCMAP	1	1	4	3	1	3
MED30	38	56	76	76	75	59
RAD54L	14	35	20	33	33	40
PLCG2	20	18	22	21	22	24
C1QB	0	0	0	0	0	0
PEX11A	29	43	49	50	58	39
ZNF175	76	78	75	116	106	78
C2CD4A	0	0	0	2	1	4
MACROD1	2	6	6	9	7	5
CYP27B1	9	8	17	23	15	15
CTU1	20	19	24	32	30	13
PUS7L	29	32	35	44	61	46
TNFAIP6	71	93	76	35	31	25
ANKRD42	37	23	35	32	36	46
ZNF121	206	215	212	361	320	247
SLC46A3	10	8	16	20	20	21
LOC440434	89	96	72	103	110	86
PLD6	339	415	412	575	620	411
KIRREL3	35	34	32	51	40	22
OLFM2	13	20	13	32	23	18
CDH24	25	32	33	39	38	22
CENPL	34	45	32	56	41	50
PIF1	0	0	1	5	2	2
ADAMTS15	22	24	22	14	23	9
ZCCHC24	27	27	29	26	27	18
MTHFD2L	18	19	24	38	39	24
SNHG10	278	286	326	468	442	315
TMEM171	2	5	5	3	5	2
PEX12	113	104	118	193	163	138
SENP3	38	42	52	63	49	50
ST7L	65	55	64	84	88	68
NCKAP5	109	78	113	159	187	126
IGFBP5	114	161	116	101	197	93
FBLN5	18	18	9	6	6	6
DUOXA1	1	2	1	0	1	1
ETNK2	9	7	7	14	14	10
LUM	3	7	2	1	3	4
BDH1	14	10	7	24	11	14
B3GNT7	55	44	32	22	13	13
FAM173B	12	20	18	23	25	26
BORA	20	17	20	24	22	22
ABHD6	22	20	14	43	34	27
RECK	24	24	39	56	67	44
NAIF1	51	35	53	72	51	54
ZNF234	127	110	107	198	170	143
IL27RA	6	4	7	20	11	10
ALOX5	25	14	15	26	20	12
NEK3	12	20	21	20	28	18
ADRA1B	3	5	8	25	9	18
FAM160A1	2	5	10	4	4	4
FGFR2	3	2	3	12	2	4
KLHDC7A	24	33	10	50	27	30
TPGS1	1	1	1	2	1	0
TEF	90	81	70	164	119	89
C12orf66	50	35	33	60	57	41
PLEKHH1	19	26	25	56	44	42
GYPC	0	0	0	0	0	1
MEX3A	40	36	54	71	54	48
ENTPD1	35	36	30	46	47	27
TAF4B	29	28	34	49	61	41
PRDM11	62	81	61	105	106	82
ANG	11	25	21	16	22	14
XYLT1	64	73	52	68	53	43
KRTCAP3	3	3	2	1	5	4
FBXW9	18	19	18	36	21	20
RAD51D	25	32	16	34	39	27
POU2F2	339	453	531	560	579	350
CLEC4E	75	90	74	62	41	27
UVSSA	41	34	31	84	47	44
ZNF691	59	70	55	94	82	74
GPR4	0	0	0	0	0	1
GFRA1	25	36	34	45	44	54
CCDC113	8	10	12	28	23	13
IFI27L1	18	23	16	18	31	16
CNPY4	18	33	24	26	37	35
AGO3	24	35	36	32	42	33
ZNF426	13	14	12	20	20	16
SATB1	4	0	0	0	1	0
TRMT44	42	44	44	61	51	47
IL15	40	56	61	73	65	37
OXTR	90	91	86	168	149	127
GLMN	25	18	35	50	46	33
MCOLN3	9	15	11	23	19	16
IPP	20	17	39	53	43	41
CORO1A	3	2	2	5	7	4
ARID3A	68	80	97	109	121	76
ANKRD36	56	62	80	128	109	77
EPS8L3	12	12	7	18	20	15
MT1G	1	0	0	0	0	0
AMN1	25	32	36	36	42	31
PKD1L2	15	19	16	37	28	24
KCNS3	31	40	42	36	41	19
ZNF765	96	106	93	136	127	98
CCDC18	23	32	29	36	47	25
ST8SIA4	90	57	38	48	42	21
CALML3	1	0	0	0	0	0
ACVR2B	79	66	70	104	104	85
FANCM	24	12	21	18	31	20
ZNF552	37	36	40	66	48	43
TTC39A	14	18	10	18	20	16
ZNF500	25	31	22	37	31	33
ARHGAP19	30	28	36	40	50	34
VAMP5	2	1	1	1	4	4
SNHG11	40	34	52	72	55	51
PACRGL	14	20	24	45	47	46
NBPF15	16	12	16	22	15	11
GPR176	36	27	36	41	43	32
REC8	61	51	69	35	25	19
SLC25A19	8	7	8	11	10	8
ZNF28	2	4	1	12	6	5
CEP128	15	18	21	23	35	23
ZKSCAN2	52	59	52	77	74	72
CPNE4	16	14	7	22	15	12
GLP2R	5	9	9	16	23	20
TAF1A	67	83	89	102	114	78
WDR83	17	18	15	37	25	26
LEPR	25	30	34	36	41	34
FAM81A	10	13	26	17	19	21
SLAMF7	14	13	7	16	14	19
TNFRSF9	337	318	329	639	602	378
TNK1	22	25	14	37	26	18
STARD9	27	26	23	37	50	18
FBXO27	10	6	10	18	11	14
C17orf53	20	15	27	33	27	16
MTRF1	30	24	18	37	43	27
1-Mar	3	6	7	8	8	4
FAM198B	26	14	10	47	23	27
DGCR6	16	15	23	48	34	30
MAST3	24	21	19	52	23	22
AADAT	22	15	29	61	41	41
C2CD2L	22	12	18	16	21	16
ENKD1	10	15	14	29	18	15
PER3	222	196	255	364	418	261
GUSBP11	32	30	35	56	58	31
ARHGEF26	21	29	28	37	37	33
IGSF11	46	58	43	94	80	67
MAFB	6	13	9	6	5	1
ALG14	25	22	19	40	36	29
ANO1	1	4	3	4	12	5
C14orf93	22	33	28	45	34	18
WDR25	27	17	22	19	24	18
BIK	12	12	9	17	7	15
B4GALT6	27	27	28	32	33	30
APBB3	36	38	40	52	61	43
CCL18	0	0	0	1	0	0
NOS1	23	27	26	31	18	19
ZDHHC23	49	64	68	92	84	71
IKZF2	2	3	2	3	7	3
RASGEF1A	1	0	6	16	13	11
PROM1	17	21	23	34	44	14
TRMT10A	32	29	28	59	68	46
SETBP1	23	15	27	36	34	17
THAP2	115	99	106	166	156	113
TLR2	8	6	10	6	7	11
POLE2	6	5	10	12	20	11
CD70	66	85	66	138	76	80
LRIG2	61	55	49	100	67	60
CDKN2D	11	26	15	11	12	14
IKZF3	12	20	14	40	32	16
GSTM4	2	6	4	12	15	11
VAV1	54	53	46	87	83	40
PANX2	13	10	9	12	11	6
BCL6B	3	4	5	5	4	3
PADI1	3	3	5	11	13	12
LAYN	2	7	10	11	6	10
FRRS1	38	22	41	46	34	24
NIPAL1	7	10	15	16	10	17
ZNF791	78	74	68	141	135	86
CD38	69	83	30	21	13	15
RAPGEF3	2	4	1	1	3	4
DNAJC17	20	16	9	22	17	19
DCLK2	54	62	44	102	105	70
CGREF1	14	21	18	29	28	32
CEP72	27	29	33	44	50	24
CLCN2	18	11	15	30	36	27
ATAT1	50	58	47	84	60	73
CCDC103	27	22	26	35	44	31
MYPOP	13	16	19	20	16	16
ACSM3	6	6	4	12	13	10
ADH1B	0	1	0	0	0	0
FAM76A	16	38	21	40	32	21
E2F8	1	3	4	6	4	6
SARM1	34	41	32	43	51	37
ACVR2A	81	79	88	117	136	112
MMP17	13	12	5	19	9	13
TPM3P9	47	45	43	71	74	49
LYSMD1	81	66	81	91	91	54
ADAMTS7	22	25	31	50	54	42
UNC13A	7	13	5	22	23	12
TEX30	13	8	16	13	26	13
ST20	39	46	46	63	50	53
ZNF35	61	77	57	70	76	63
AXIN2	85	92	80	156	149	84
FAM117B	29	35	28	41	32	30
FNDC4	2	3	4	4	11	5
FAM200A	81	91	84	131	120	92
UBOX5	80	64	50	118	91	52
PPP1R3D	25	26	27	40	31	28
SLC9A2	18	26	22	42	59	37
KAZN	16	13	17	37	34	22
NFATC1	22	25	29	28	33	28
ECHDC3	18	20	15	27	26	10
MARK1	5	5	9	7	9	10
GATM	13	17	8	39	30	12
EPB41L3	1	1	1	1	4	3
POSTN	0	0	0	0	0	0
ZNF287	17	20	25	38	50	34
PRX	110	136	122	197	163	115
SLC27A5	12	23	16	32	17	17
TMEM42	38	42	42	72	73	61
SCN1B	63	64	45	64	63	38
EFNA4	19	23	14	21	26	23
SPA17	7	6	2	11	18	3
CD34	0	0	0	0	2	0
FGR	2	2	1	2	3	0
LOC100130899	0	0	0	0	0	0
HELQ	47	47	35	45	41	35
CAMK1D	28	26	39	40	27	34
MMP19	4	1	3	1	3	3
ZSCAN12	105	96	120	167	148	124
SLC2A9	1	2	2	2	2	4
DCUN1D2	31	29	31	57	50	35
TRAIP	6	10	6	16	15	14
PAG1	51	72	118	74	106	57
PARD3B	34	49	49	67	88	49
CHAC2	27	18	36	37	36	34
RFX2	56	53	57	93	61	52
REEP6	4	4	2	7	7	6
SFT2D2	33	44	27	53	50	32
RTN2	19	19	10	31	25	25
AQP9	0	2	0	4	8	3
FLI1	4	1	0	0	0	0
SLC5A10	106	118	100	179	136	95
